Node Label    RF.M	agnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
99	0	0	0	0	117,548	2,08E-17	-117,548	-2,94E-15
100	0	0	0	0	117,388	-1,32E-16	-117,388	2,86E-15
101	0	0	0	0	117,136	-9,85E-16	-117,136	-2,50E-16
102	0	0	0	0	116,849	-1,82E-15	-116,849	-2,39E-15
103	0	0	0	0	116,457	-1,06E-15	-116,457	-4,69E-15
104	0	0	0	0	116,036	2,78E-17	-116,036	-5,75E-15
105	0	0	0	0	115,719	-1,48E-15	-115,719	-2,08E-15
106	0	0	0	0	115,355	2,05E-16	-115,355	-8,49E-15
107	0	0	0	0	114,939	3,05E-16	-114,939	-7,49E-16
108	0	0	0	0	114,464	2,65E-15	-114,464	-3,66E-15
109	0	0	0	0	113,954	2,94E-15	-113,954	-8,33E-17
110	0	0	0	0	113,365	8,29E-16	-113,365	1,69E-15
111	0	0	0	0	112,755	-1,44E-16	-112,755	-5,55E-17
112	0	0	0	0	112,234	-3,57E-15	-112,234	-4,65E-15
113	0	0	0	0	111,676	1,08E-15	-111,676	-2,94E-15
114	0	0	0	0	111,085	-3,02E-15	-111,085	-2,12E-15
115	0	0	0	0	110,448	-1,86E-15	-110,448	-4,50E-15
116	0	0	0	0	109,79	-2,40E-15	-109,79	-6,79E-15
117	0	0	0	0	109,072	-3,68E-16	-109,072	-5,94E-15
118	0	0	0	0	108,342	6,25E-17	-108,342	-3,01E-15
119	0	0	0	0	107,669	2,03E-15	-107,669	2,71E-15
120	0	0	0	0	106,973	-8,29E-16	-106,973	3,71E-15
121	0	0	0	0	106,248	-1,56E-16	-106,248	-1,15E-15
122	0	0	0	0	105,51	1,03E-15	-105,51	-3,28E-15
123	0	0	0	0	104,732	-4,09E-16	-104,732	8,88E-16
124	0	0	0	0	103,95	3,47E-17	-103,95	-2,25E-15
125	0	0	0	0	103,194	-9,65E-16	-103,194	3,96E-16
126	0	0	0	0	102,42	-1,85E-15	-102,42	-2,65E-15
127	0	0	0	0	101,647	-2,50E-15	-101,647	-2,55E-15
128	0	0	0	0	100,853	1,30E-15	-100,853	-2,99E-15
129	0	0	0	0	100,063	-7,70E-16	-100,063	5,92E-15
130	0	0	0	0	99,2467	-1,55E-15	-99,2467	1,13E-15
131	0	0	0	0	98,4376	-1,21E-15	-98,4376	-3,75E-16
132	0	0	0	0	90,3261	-1,63E-01	-90,3117	-1,60468
133	0	0	0	0	83,0003	-3,27E-01	-82,9376	-3,20936
134	0	0	0	0	75,7183	-4,90E-01	-75,5635	-4,81404
135	0	0	0	0	68,4939	-6,53E-01	-68,1894	-6,41873
136	0	0	0	0	61,3477	-8,17E-01	-60,8153	-8,02341
137	0	0	0	0	54,3104	-9,80E-01	-53,4412	-9,62809
138	0	0	0	0	47,4305	-1,14326	-46,067	-11,2328
139	0	0	0	0	40,7879	-1,30658	-38,6929	-12,8375
140	0	0	0	0	34,5196	-1,4699	-31,3188	-14,4421
141	0	0	0	0	28,8707	-1,63322	-23,9447	-16,0468
142	0	0	0	0	24,2773	-1,79655	-16,5706	-17,6515
143	0	0	0	0	21,4293	-1,95987	-9,19646	-19,2562
144	0	0	0	0	21,0477	-2,12319	-1,82234	-20,8609
145	0	0	0	0	23,2541	-2,28651	5,55177	-22,4655
146	0	0	0	0	27,4309	-2,44984	12,9259	-24,0702
147	0	0	0	0	33,3069	-2,61316	21,0552	-25,6749
148	0	0	0	0	33,7895	-2,61316	21,8105	-25,6749
149	0	0	0	0	34,2818	-2,61316	22,5657	-25,6749
150	0	0	0	0	34,7836	-2,61316	23,321	-25,6749
151	0	0	0	0	35,2944	-2,61316	24,0762	-25,6749
152	0	0	0	0	29,8352	-2,44984	17,4574	-24,0702
153	0	0	0	0	24,7306	-2,28651	10,0833	-22,4655
154	0	0	0	0	21,1429	-2,12319	2,70915	-20,8609
155	0	0	0	0	19,9099	-1,95987	-4,66497	-19,2562
156	0	0	0	0	21,4416	-1,79655	-12,0391	-17,6515
157	0	0	0	0	25,2397	-1,63322	-19,4132	-16,0468
158	0	0	0	0	30,468	-1,4699	-26,7873	-14,4421
159	0	0	0	0	36,5173	-1,30658	-34,1614	-12,8375
160	0	0	0	0	43,0428	-1,14326	-41,5355	-11,2328
161	0	0	0	0	49,8579	-9,80E-01	-48,9097	-9,62809
162	0	0	0	0	56,8586	-8,17E-01	-56,2838	-8,02341
163	0	0	0	0	63,984	-6,53E-01	-63,6579	-6,41873
164	0	0	0	0	71,1966	-4,90E-01	-71,032	-4,81404
165	0	0	0	0	78,4725	-3,27E-01	-78,4061	-3,20936
166	0	0	0	0	85,7954	-1,63E-01	-85,7802	-1,60468
167	0	0	0	0	93,9096	-4,37E-16	-93,9096	-2,98E-15
168	0	0	0	0	94,6648	4,93E-16	-94,6648	-1,57E-15
169	0	0	0	0	95,4201	-9,02E-17	-95,4201	-6,94E-17
170	0	0	0	0	96,1753	-9,37E-16	-96,1753	-3,35E-15
171	0	0	0	0	96,9306	-1,68E-15	-96,9306	3,32E-15
172	0	0	0	0	45,4238	8,08E-01	44,7183	7,93398
173	0	0	0	0	43,7832	1,53598	41,0714	15,0913
174	0	0	0	0	41,091	2,11409	35,3913	20,7714
175	0	0	0	0	37,4111	2,48526	28,234	24,4183
176	0	0	0	0	33,3069	2,61316	21,0552	25,6749
177	0	0	0	0	33,7895	2,61316	21,8105	25,6749
178	0	0	0	0	34,2818	2,61316	22,5657	25,6749
179	0	0	0	0	34,7836	2,61316	23,321	25,6749
180	0	0	0	0	35,2944	2,61316	24,0762	25,6749
181	0	0	0	0	40,939	2,48526	32,7655	24,4183
182	0	0	0	0	45,0528	2,11409	39,9228	20,7714
183	0	0	0	0	48,0597	1,53598	45,6029	15,0913
184	0	0	0	0	49,8913	8,08E-01	49,2498	7,93398
185	0	0	0	0	49,7511	-1,87E-15	49,7511	-1,14E-15
186	0	0	0	0	48,9959	-4,58E-16	48,9959	-1,33E-14
187	0	0	0	0	48,2407	2,26E-15	48,2407	-6,66E-15
188	0	0	0	0	47,4854	-7,01E-16	47,4854	1,05E-14
189	0	0	0	0	46,7302	1,20E-15	46,7302	1,21E-14
190	0	0	0	0	45,4238	-8,08E-01	44,7183	-7,93398
191	0	0	0	0	43,7832	-1,53598	41,0714	-15,0913
192	0	0	0	0	41,091	-2,11409	35,3913	-20,7714
193	0	0	0	0	37,4111	-2,48526	28,234	-24,4183
194	0	0	0	0	32,3553	-2,61138	19,5226	-25,6693
