Node Label    RF.Ma	gnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
98	0	0	0	0	168,955	-3,97E-02	168,935	-2,59078
99	0	0	0	0	180,283	-6,01E-02	180,283	-1,41E-01
100	0	0	0	0	180,436	-5,49E-02	180,436	-1,42E-01
101	0	0	0	0	180,681	-4,91E-02	180,681	-1,41E-01
102	0	0	0	0	180,962	-4,43E-02	180,962	-1,42E-01
103	0	0	0	0	181,347	-4,03E-02	181,347	-1,43E-01
104	0	0	0	0	181,762	-3,52E-02	181,762	-1,47E-01
105	0	0	0	0	182,073	-2,69E-02	182,073	-1,42E-01
106	0	0	0	0	182,431	-2,25E-02	182,431	-1,39E-01
107	0	0	0	0	182,843	-1,74E-02	182,843	-1,36E-01
108	0	0	0	0	183,313	-1,37E-02	183,313	-1,34E-01
109	0	0	0	0	183,819	-9,68E-03	183,819	-1,32E-01
110	0	0	0	0	184,404	-6,92E-03	184,404	-1,29E-01
111	0	0	0	0	185,012	-3,37E-03	185,012	-1,29E-01
112	0	0	0	0	185,529	3,28E-03	185,529	-1,22E-01
113	0	0	0	0	186,084	6,61E-03	186,084	-1,18E-01
114	0	0	0	0	186,674	1,05E-02	186,674	-1,13E-01
115	0	0	0	0	187,309	1,31E-02	187,309	-1,08E-01
116	0	0	0	0	187,966	1,58E-02	187,966	-1,03E-01
117	0	0	0	0	188,684	1,76E-02	188,684	-9,83E-02
118	0	0	0	0	189,415	1,94E-02	189,415	-9,51E-02
119	0	0	0	0	190,088	2,43E-02	190,088	-8,75E-02
120	0	0	0	0	190,785	2,65E-02	190,785	-8,13E-02
121	0	0	0	0	191,511	2,88E-02	191,511	-7,46E-02
122	0	0	0	0	192,25	3,02E-02	192,25	-6,83E-02
123	0	0	0	0	193,031	3,13E-02	193,031	-6,21E-02
124	0	0	0	0	193,816	3,16E-02	193,816	-5,69E-02
125	0	0	0	0	194,575	3,51E-02	194,575	-4,92E-02
126	0	0	0	0	195,353	3,65E-02	195,353	-4,22E-02
127	0	0	0	0	196,13	3,80E-02	196,13	-3,48E-02
128	0	0	0	0	196,928	3,86E-02	196,928	-2,77E-02
129	0	0	0	0	197,722	3,89E-02	197,722	-2,04E-02
130	0	0	0	0	198,543	3,88E-02	198,543	-1,34E-02
131	0	0	0	0	199,356	3,75E-02	199,356	-6,63E-03
132	0	0	0	0	188,889	-1,32E-01	188,873	2,44555
133	0	0	0	0	177,702	-3,01E-01	177,635	4,89109
134	0	0	0	0	166,559	-4,70E-01	166,397	7,33664
135	0	0	0	0	155,468	-6,39E-01	155,158	9,78218
136	0	0	0	0	144,441	-8,08E-01	143,92	12,2277
137	0	0	0	0	133,494	-9,77E-01	132,682	14,6733
138	0	0	0	0	122,65	-1,14649	121,444	17,1188
139	0	0	0	0	111,936	-1,31564	110,206	19,5644
140	0	0	0	0	101,396	-1,48479	98,9674	22,0099
141	0	0	0	0	91,0891	-1,65393	87,7292	24,4555
142	0	0	0	0	81,104	-1,82308	76,491	26,901
143	0	0	0	0	71,576	-1,99223	65,2528	29,3466
144	0	0	0	0	62,7135	-2,16138	54,0146	31,7921
145	0	0	0	0	54,8404	-2,33053	42,7764	34,2376
146	0	0	0	0	48,4413	-2,49967	31,5382	36,6832
147	0	0	0	0	44,52	-2,66854	21,0585	39,1337
148	0	0	0	0	44,8881	-2,66839	21,8169	39,1387
149	0	0	0	0	45,2659	-2,66827	22,5753	39,1438
150	0	0	0	0	45,6532	-2,66821	23,3337	39,1488
151	0	0	0	0	46,0497	-2,6682	24,0921	39,1538
152	0	0	0	0	51,5413	-2,4992	36,0886	36,7134
153	0	0	0	0	58,4768	-2,33008	47,3268	34,2678
154	0	0	0	0	66,6871	-2,16096	58,5649	31,8223
155	0	0	0	0	75,759	-1,99185	69,803	29,3768
156	0	0	0	0	85,4182	-1,82273	81,0411	26,9313
157	0	0	0	0	95,4869	-1,65362	92,2792	24,4857
158	0	0	0	0	105,848	-1,4845	103,517	22,0402
