*Node			
154	        1691.	     70.28125	    -74.53125
155	        1691.	       64.875	      -99.375
156	        1691.	     59.46875	   -124.21875
157	        1691.	      54.0625	    -149.0625
158	        1691.	     48.65625	   -173.90625
159	        1691.	        43.25	      -198.75
160	        1691.	     37.84375	   -223.59375
161	        1691.	      32.4375	    -248.4375
162	        1691.	     27.03125	   -273.28125
163	        1691.	       21.625	     -298.125
164	        1691.	     16.21875	   -322.96875
165	        1691.	      10.8125	    -347.8125
166	        1691.	      5.40625	   -372.65625
167	        1666.	           0.	       -397.5
168	        1641.	           0.	       -397.5
169	        1616.	           0.	       -397.5
170	        1591.	           0.	       -397.5
171	        1566.	           0.	       -397.5
172	        1541.	  -26.7299709	   82.2663879
173	        1541.	  -50.8434258	   69.9799728
174	        1541.	  -69.9799728	   50.8434258
175	        1541.	  -82.2663879	   26.7299709
176	        1566.	        -86.5	           0.
177	        1591.	        -86.5	           0.
178	        1616.	        -86.5	           0.
179	        1641.	        -86.5	           0.
180	        1666.	        -86.5	           0.
181	        1691.	  -82.2663879	   26.7299709
182	        1691.	  -69.9799728	   50.8434258
183	        1691.	  -50.8434258	   69.9799728
184	        1691.	  -26.7299709	   82.2663879
185	        1666.	           0.	         86.5
186	        1641.	           0.	         86.5
187	        1616.	           0.	         86.5
188	        1591.	           0.	         86.5
189	        1566.	           0.	         86.5
190	        1541.	   26.7299709	   82.2663879
191	        1541.	   50.8434258	   69.9799728
192	        1541.	   69.9799728	   50.8434258
193	        1541.	   82.2663879	   26.7299709
194	   1515.97058	         86.5	           0.
195	   1490.94116	         86.5	           0.
196	   1465.91174	         86.5	           0.
197	   1440.88232	         86.5	           0.
198	   1415.85291	         86.5	           0.
199	   1390.82349	         86.5	           0.
200	   1365.79407	         86.5	           0.
201	   1340.76465	         86.5	           0.
202	   1315.73535	         86.5	           0.
203	   1290.70593	         86.5	           0.
204	   1265.67651	         86.5	           0.
205	   1240.64709	         86.5	           0.
206	   1215.61768	         86.5	           0.
207	   1190.58826	         86.5	           0.
208	   1165.55884	         86.5	           0.
209	   1140.52942	         86.5	           0.
210	       1115.5	         86.5	           0.
211	   1090.47058	         86.5	           0.
212	   1065.44116	         86.5	           0.
213	   1040.41174	         86.5	           0.
214	   1015.38232	         86.5	           0.
215	   990.352966	         86.5	           0.
216	   965.323547	         86.5	           0.
217	   940.294128	         86.5	           0.
218	   915.264709	         86.5	           0.
219	   890.235291	         86.5	           0.
220	   865.205872	         86.5	           0.
221	   840.176453	         86.5	           0.
222	   815.147034	         86.5	           0.
223	   790.117676	         86.5	           0.
224	   765.088257	         86.5	           0.
225	   740.058838	         86.5	           0.
226	   715.029419	         86.5	           0.
227	         690.	   82.2663879	   26.7299709
228	         690.	   69.9799728	   50.8434258
229	         690.	   50.8434258	   69.9799728
230	         690.	   26.7299709	   82.2663879
231	   715.029419	           0.	         86.5
232	   740.058838	           0.	         86.5
233	   765.088257	           0.	         86.5
234	   790.117676	           0.	         86.5
235	   815.147034	           0.	         86.5
236	   840.176453	           0.	         86.5
237	   865.205872	           0.	         86.5
238	   890.235291	           0.	         86.5
239	   915.264709	           0.	         86.5
240	   940.294128	           0.	         86.5
241	   965.323547	           0.	         86.5
242	   990.352966	           0.	         86.5
243	   1015.38232	           0.	         86.5
244	   1040.41174	           0.	         86.5
245	   1065.44116	           0.	         86.5
246	   1090.47058	           0.	         86.5
247	       1115.5	           0.	         86.5
248	   1140.52942	           0.	         86.5
249	   1165.55884	           0.	         86.5
250	   1190.58826	           0.	         86.5
251	   1215.61768	           0.	         86.5
252	   1240.64709	           0.	         86.5
253	   1265.67651	           0.	         86.5
254	   1290.70593	           0.	         86.5
255	   1315.73535	           0.	         86.5
256	   1340.76465	           0.	         86.5
257	   1365.79407	           0.	         86.5
258	   1390.82349	           0.	         86.5
259	   1415.85291	           0.	         86.5
260	   1440.88232	           0.	         86.5
261	   1465.91174	           0.	         86.5
262	   1490.94116	           0.	         86.5
263	   1515.97058	           0.	         86.5
264	        1541.	  -57.6666679	           0.
265	        1541.	   -28.833334	           0.
266	        1566.	           0.	           0.
267	        1591.	           0.	           0.
268	        1616.	           0.	           0.
269	        1641.	           0.	           0.
270	        1666.	           0.	           0.
271	        1691.	   -28.833334	           0.
272	        1691.	  -57.6666679	           0.
273	        1541.	   57.6666679	           0.
274	        1541.	    28.833334	           0.
275	   1515.97058	           0.	           0.
276	   1490.94116	           0.	           0.
277	   1465.91174	           0.	           0.
278	   1440.88232	           0.	           0.
279	   1415.85291	           0.	           0.
280	   1390.82349	           0.	           0.
281	   1365.79407	           0.	           0.
282	   1340.76465	           0.	           0.
